epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,642.301,0.90101,0.68541,1.10592,0.78738,0.79503,0.85141,0.57667,1.15294,0.8269,1.25366,0.0002785,0.0002785,0.0002785
58,653.355,0.89642,0.68656,1.10165,0.82841,0.77543,0.85471,0.58006,1.14186,0.81597,1.25122,0.000272313,0.000272313,0.000272313
59,664.399,0.89959,0.67614,1.1059,0.83592,0.78914,0.86445,0.58501,1.15406,0.80585,1.25252,0.000266125,0.000266125,0.000266125
60,675.844,0.87744,0.65499,1.09702,0.79824,0.80947,0.86129,0.58734,1.12798,0.79586,1.22311,0.000259938,0.000259938,0.000259938
61,687.342,0.8625,0.64149,1.08072,0.83055,0.78109,0.86455,0.59724,1.12497,0.79474,1.23192,0.00025375,0.00025375,0.00025375
62,698.8,0.88518,0.66607,1.09526,0.80725,0.8062,0.86411,0.59271,1.14202,0.81297,1.24189,0.000247563,0.000247563,0.000247563
63,709.885,0.86813,0.63822,1.08795,0.83461,0.78067,0.85613,0.59105,1.14573,0.81153,1.23199,0.000241375,0.000241375,0.000241375
64,720.886,0.84709,0.6168,1.07324,0.7966,0.80038,0.86424,0.59323,1.1158,0.7849,1.23258,0.000235188,0.000235188,0.000235188
65,731.851,0.85348,0.62482,1.08662,0.80443,0.80619,0.8661,0.59954,1.1064,0.78532,1.226,0.000229,0.000229,0.000229
66,742.913,0.8554,0.62209,1.07948,0.82005,0.79649,0.85883,0.59147,1.12236,0.787,1.23178,0.000222813,0.000222813,0.000222813
67,753.917,0.84292,0.61478,1.07688,0.79648,0.81153,0.84887,0.58589,1.12364,0.8035,1.23956,0.000216625,0.000216625,0.000216625
68,765.132,0.85473,0.61146,1.07973,0.77582,0.81915,0.85753,0.59025,1.11806,0.80957,1.23708,0.000210437,0.000210437,0.000210437
69,776.175,0.8277,0.60101,1.06812,0.8172,0.78186,0.85985,0.58313,1.14897,0.80186,1.26937,0.00020425,0.00020425,0.00020425
70,787.093,0.82734,0.61854,1.07125,0.75748,0.8395,0.85796,0.59172,1.12776,0.78801,1.26136,0.000198063,0.000198063,0.000198063
71,797.983,0.80622,0.58316,1.04691,0.79349,0.81894,0.85566,0.58908,1.11448,0.81258,1.23236,0.000191875,0.000191875,0.000191875
72,809.249,0.81611,0.59401,1.06672,0.80728,0.81574,0.86539,0.59986,1.12241,0.78432,1.25243,0.000185688,0.000185688,0.000185688
73,820.462,0.80038,0.5807,1.05569,0.81926,0.80488,0.8691,0.59603,1.1304,0.79621,1.24928,0.0001795,0.0001795,0.0001795
74,831.714,0.79654,0.58329,1.05048,0.82071,0.8104,0.8704,0.59799,1.1053,0.77717,1.22508,0.000173313,0.000173313,0.000173313
75,842.635,0.8035,0.58703,1.04864,0.82586,0.81254,0.86487,0.58974,1.11579,0.78292,1.23447,0.000167125,0.000167125,0.000167125
76,853.81,0.79654,0.5737,1.04933,0.78726,0.81378,0.86357,0.59478,1.12355,0.77007,1.23755,0.000160938,0.000160938,0.000160938
77,865.053,0.78346,0.57878,1.04349,0.81928,0.80697,0.86104,0.59458,1.12414,0.78516,1.23945,0.00015475,0.00015475,0.00015475
78,876.059,0.77115,0.55432,1.04291,0.77691,0.82838,0.85919,0.59664,1.12297,0.79818,1.25569,0.000148563,0.000148563,0.000148563
79,886.968,0.7576,0.54592,1.02375,0.79346,0.81903,0.86439,0.60146,1.11864,0.7967,1.24356,0.000142375,0.000142375,0.000142375
80,898.012,0.75457,0.55818,1.03054,0.77114,0.81491,0.85325,0.59286,1.12188,0.80467,1.24715,0.000136187,0.000136187,0.000136187
81,908.944,0.77111,0.54083,1.03325,0.81724,0.77959,0.85849,0.59692,1.12555,0.79642,1.25018,0.00013,0.00013,0.00013
82,919.982,0.74886,0.53222,1.02959,0.8041,0.80172,0.85753,0.60017,1.11983,0.80102,1.25463,0.000123812,0.000123812,0.000123812
83,930.938,0.75783,0.53877,1.03121,0.79553,0.80435,0.85947,0.59709,1.12477,0.80445,1.25051,0.000117625,0.000117625,0.000117625
84,942.536,0.74842,0.54148,1.03369,0.77472,0.83423,0.86074,0.601,1.12004,0.78236,1.24721,0.000111438,0.000111438,0.000111438
85,953.93,0.74715,0.52737,1.02392,0.78335,0.8127,0.85864,0.59754,1.1254,0.79036,1.2544,0.00010525,0.00010525,0.00010525
86,965.255,0.74699,0.52653,1.02581,0.79984,0.80363,0.85704,0.59296,1.12278,0.79343,1.24913,9.90625e-05,9.90625e-05,9.90625e-05
87,976.678,0.72853,0.51913,1.01959,0.79411,0.81306,0.85663,0.59342,1.11787,0.78851,1.24525,9.2875e-05,9.2875e-05,9.2875e-05
88,988.437,0.72858,0.53537,1.02029,0.79564,0.80933,0.85214,0.59512,1.12525,0.80985,1.24818,8.66875e-05,8.66875e-05,8.66875e-05
89,999.818,0.71388,0.51249,1.01498,0.80726,0.78014,0.84866,0.58537,1.13217,0.81848,1.26223,8.05e-05,8.05e-05,8.05e-05
90,1011.31,0.71842,0.51259,1.00897,0.81732,0.80116,0.86017,0.59548,1.1298,0.812,1.2637,7.43125e-05,7.43125e-05,7.43125e-05
91,1022.5,0.65356,0.43079,0.966,0.80183,0.8142,0.86252,0.59767,1.12433,0.79797,1.26741,6.8125e-05,6.8125e-05,6.8125e-05
92,1033.77,0.64696,0.42343,0.97085,0.80038,0.80931,0.85985,0.60435,1.1148,0.79138,1.26599,6.19375e-05,6.19375e-05,6.19375e-05
93,1044.82,0.62929,0.40715,0.95587,0.80923,0.80636,0.86048,0.60079,1.1209,0.79161,1.26294,5.575e-05,5.575e-05,5.575e-05
94,1055.48,0.62294,0.4058,0.95004,0.82002,0.78737,0.8605,0.60219,1.11753,0.78769,1.26138,4.95625e-05,4.95625e-05,4.95625e-05
95,1066.15,0.62124,0.40115,0.95065,0.80212,0.80356,0.85624,0.60219,1.11646,0.79331,1.26208,4.3375e-05,4.3375e-05,4.3375e-05
96,1076.91,0.62321,0.38837,0.948,0.7968,0.80801,0.85848,0.60063,1.11298,0.79976,1.26239,3.71875e-05,3.71875e-05,3.71875e-05
97,1087.61,0.61267,0.39415,0.95153,0.79822,0.81137,0.85823,0.60019,1.11092,0.80871,1.2606,3.1e-05,3.1e-05,3.1e-05
98,1098.34,0.60204,0.38765,0.93916,0.79333,0.82056,0.85626,0.60181,1.11043,0.80694,1.25963,2.48125e-05,2.48125e-05,2.48125e-05
99,1109.14,0.59778,0.37607,0.94018,0.78624,0.81917,0.85585,0.60038,1.11026,0.80822,1.263,1.8625e-05,1.8625e-05,1.8625e-05
100,1119.62,0.59846,0.38996,0.94754,0.79003,0.81979,0.85594,0.60001,1.11311,0.80787,1.26818,1.24375e-05,1.24375e-05,1.24375e-05
